"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List","Supplier Name","Suggested Reorder QTY : <font color=#2096F3><b>%1$s</b></font> %2$s"
"Trina","N/A","29.5","0.0","N/A","570/575 w","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Eastman 200 Ah","N/A","2600.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Eastman 24 V 200 Ah","N/A","1380.0","1450.0","N/A","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Eastman 250 Ah","N/A","2175.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Felicity 250 Ah","N/A","2075.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Deye Hybrid Inverteur 5 Kw","N/A","970.0","1070.0","N/A","N/A","0.0","0.0","0.0","0.0","06 May 2023","0.0%","N/A"
"Deye Battery 5 Kwh","N/A","1150.0","1200.0","N/A","N/A","0.0","0.0","0.0","0.0","23 May 2023","0.0%","N/A"
"Sonoff Mini R2","N/A","15.0","10.0","N/A","N/A","0.0","0.0","0.0","0.0","10 June 2023","0.0%","N/A"
"Sonoff THR 316","N/A","25.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","10 June 2023","0.0%","N/A"
"Contacter 63 À","N/A","40.0","45.0","N/A","N/A","0.0","0.0","0.0","0.0","10 June 2023","0.0%","N/A"
"Jinko 550W","N/A","105.0","115.0","N/A","N/A","-4.0","0.0","0.0","0.0","21 June 2023","0.0%","N/A"
"Lithium Battery Eitai 6 Kwh","N/A","1500.0","1700.0","N/A","N/A","0.0","0.0","0.0","0.0","21 June 2023","0.0%","N/A"
"AC Breaker 16","N/A","3.0","7.0","Psc","2 pool","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"AC Cable 4x4","N/A","3.5","4.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"Cach Cable 5x10","N/A","0.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"Relay With Stand","N/A","0.0","14.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"Timer","N/A","0.0","10.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"Switch Legrand","N/A","0.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"Cover Legrand","N/A","0.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"AC Breaker 63 Schneider","N/A","0.0","15.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
"Serene","N/A","0.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","22 June 2023","0.0%","N/A"
